Date,Close
2015/12/14,19.61
2015/12/15,19.63
2015/12/16,19.89
2015/12/17,20.05
2015/12/18,19.85
2015/12/21,19.64
2015/12/22,19.72
2015/12/23,19.8
2015/12/24,19.99
2015/12/25,19.99
2015/12/28,19.97
2015/12/29,19.98
2015/12/30,20.1
2015/12/31,20.06
2016/1/4,19.79
2016/1/5,19.74
2016/1/6,19.62
2016/1/7,19.43
2016/1/8,19.32
2016/1/11,19.01
2016/1/12,18.99
2016/1/13,19.32
2016/1/14,18.81
2016/1/15,18.97
2016/1/18,18.78
2016/1/19,18.9
2016/1/20,18.49
2016/1/21,18.58
2016/1/22,18.77
2016/1/25,18.97
2016/1/26,18.68
2016/1/27,18.9
2016/1/28,18.83
2016/1/29,18.96
2016/2/1,19.17
2016/2/2,19.03
2016/2/3,18.83
2016/2/15,18.5
2016/2/16,18.66
2016/2/17,18.65
2016/2/18,19.02
2016/2/19,18.94
2016/2/22,18.99
2016/2/23,19.06
2016/2/24,18.89
2016/2/25,19.05
2016/2/26,19.21
2016/3/1,18.99
2016/3/2,19.41
2016/3/3,19.47
2016/3/4,19.44
2016/3/7,19.37
2016/3/8,19.35
2016/3/9,19.34
2016/3/10,19.45
2016/3/11,19.49
2016/3/14,19.6
2016/3/15,19.57
2016/3/16,19.59
2016/3/17,19.64
2016/3/18,19.63
2016/3/21,19.61
2016/3/22,19.69
2016/3/23,19.66
2016/3/24,19.63
2016/3/25,19.7
2016/3/28,19.74
2016/3/29,19.68
2016/3/30,19.74
2016/3/31,19.71
2016/4/1,19.69
2016/4/6,19.74
2016/4/7,19.82
2016/4/8,19.71
2016/4/11,19.69
2016/4/12,19.6
2016/4/13,19.77
2016/4/14,19.94
2016/4/15,19.94
2016/4/18,19.84
2016/4/19,20.01
2016/4/20,19.99
2016/4/21,20.12
2016/4/22,20.03
2016/4/25,20.01
2016/4/26,19.99
2016/4/27,19.97
2016/4/28,19.96
2016/4/29,19.9
2016/5/3,19.84
2016/5/4,19.74
2016/5/5,19.72
2016/5/6,19.63
2016/5/9,19.74
2016/5/10,19.9
2016/5/11,20
2016/5/12,19.94
2016/5/13,19.87
2016/5/16,19.8
2016/5/17,19.96
2016/5/18,19.81
2016/5/19,19.85
2016/5/20,19.88
2016/5/23,19.86
2016/5/24,19.85
2016/5/25,20.11
2016/5/26,20.13
2016/5/27,20.15
2016/5/30,20.33
2016/5/31,20.34
2016/6/1,20.26
2016/6/2,20.23
2016/6/3,20.3
2016/6/6,20.11
2016/6/7,20.2
2016/6/8,20.15
2016/6/13,20.05
2016/6/14,19.98
2016/6/15,19.96
2016/6/16,19.85
2016/6/17,19.98
2016/6/20,20.02
2016/6/21,20
2016/6/22,19.97
2016/6/23,19.99
2016/6/24,19.31
2016/6/27,19.59
2016/6/28,19.45
2016/6/29,19.61
2016/6/30,19.81
2016/7/1,19.96
2016/7/4,20.1
2016/7/5,20.04
2016/7/6,19.93
2016/7/7,20.11
2016/7/11,20.36
2016/7/12,20.36
2016/7/13,20.43
2016/7/14,20.42
2016/7/15,20.46
2016/7/18,20.48
2016/7/19,20.49
2016/7/20,20.47
2016/7/21,20.5
2016/7/22,20.42
2016/7/25,20.56
2016/7/26,20.59
2016/7/27,20.58
2016/7/28,20.52
2016/7/29,20.42
2016/8/1,20.35
2016/8/2,20.38
2016/8/3,20.2
2016/8/4,20.26
2016/8/5,20.25
2016/8/8,20.38
2016/8/9,20.36
2016/8/10,20.23
2016/8/11,20.23
2016/8/12,20.22
2016/8/15,20.34
2016/8/16,20.28
2016/8/17,20.27
2016/8/18,20.33
2016/8/19,20.43
2016/8/22,20.5
2016/8/23,20.55
2016/8/24,20.55
2016/8/25,20.48
2016/8/26,20.43
2016/8/29,20.42
2016/8/30,20.5
2016/8/31,20.5
2016/9/1,20.5
2016/9/2,20.4
2016/9/5,20.44
2016/9/6,20.37
2016/9/7,20.29
2016/9/8,20.28
2016/9/9,20.31
2016/9/12,19.93
2016/9/13,20.24
2016/9/14,20.08
2016/9/19,20.16
2016/9/20,20.04
2016/9/21,20.01
2016/9/22,20.09
2016/9/23,20.2
2016/9/26,20.1
2016/9/29,20.21
2016/9/30,20
2016/10/3,20.05
2016/10/4,19.98
2016/10/5,19.95
2016/10/6,20.03
2016/10/7,20.1
2016/10/11,20.19
2016/10/12,20.12
2016/10/13,19.99
2016/10/14,20.05
2016/10/17,20.01
2016/10/18,20.02
2016/10/19,20
2016/10/20,20.05
2016/10/21,20.04
2016/10/24,20.1
2016/10/25,20.17
2016/10/26,20.04
2016/10/27,20.03
2016/10/28,20.03
2016/10/31,19.98
2016/11/1,19.97
2016/11/2,19.72
2016/11/3,19.62
2016/11/4,19.59
2016/11/7,19.8
2016/11/8,20
2016/11/9,19.18
2016/11/10,20.26
2016/11/11,20.32
2016/11/14,20.45
