Date,Close
2015/12/14,19.32
2015/12/15,19.4
2015/12/16,19.9
2015/12/17,20.24
2015/12/18,19.56
2015/12/21,19.21
2015/12/22,19.45
2015/12/23,19.72
2015/12/24,20.04
2015/12/25,20.02
2015/12/28,20.03
2015/12/29,20.05
2015/12/30,20.4
2015/12/31,20.18
2016/1/4,19.53
2016/1/5,19.4
2016/1/6,19.16
2016/1/7,18.62
2016/1/8,18.4
2016/1/11,17.66
2016/1/12,17.58
2016/1/13,18.23
2016/1/14,17.25
2016/1/15,17.45
2016/1/18,17.19
2016/1/19,17.39
2016/1/20,16.5
2016/1/21,16.81
2016/1/22,17.06
2016/1/25,17.5
2016/1/26,16.91
2016/1/27,17.28
2016/1/28,17.18
2016/1/29,17.43
2016/2/1,17.88
2016/2/2,17.75
2016/2/3,17.28
2016/2/15,16.88
2016/2/16,17.18
2016/2/17,17.07
2016/2/18,17.87
2016/2/19,17.72
2016/2/22,17.81
2016/2/23,17.81
2016/2/24,17.56
2016/2/25,17.85
2016/2/26,18.22
2016/3/1,17.76
2016/3/2,18.75
2016/3/3,18.77
2016/3/4,18.78
2016/3/7,18.76
2016/3/8,18.76
2016/3/9,18.73
2016/3/10,18.84
2016/3/11,19.03
2016/3/14,19.24
2016/3/15,19.16
2016/3/16,19.3
2016/3/17,19.38
2016/3/18,19.57
2016/3/21,19.57
2016/3/22,19.75
2016/3/23,19.71
2016/3/24,19.52
2016/3/25,19.61
2016/3/28,19.71
2016/3/29,19.62
2016/3/30,19.83
2016/3/31,19.9
2016/4/1,19.77
2016/4/6,19.81
2016/4/7,20.02
2016/4/8,19.8
2016/4/11,19.67
2016/4/12,19.6
2016/4/13,20.05
2016/4/14,20.29
2016/4/15,20.37
2016/4/18,20.07
2016/4/19,20.52
2016/4/20,20.48
2016/4/21,20.8
2016/4/22,20.5
2016/4/25,20.46
2016/4/26,20.47
2016/4/27,20.42
2016/4/28,20.4
2016/4/29,20.21
2016/5/3,20.23
2016/5/4,19.89
2016/5/5,19.89
2016/5/6,19.72
2016/5/9,19.94
2016/5/10,20
2016/5/11,20.35
2016/5/12,20.15
2016/5/13,19.97
2016/5/16,19.82
2016/5/17,20.13
2016/5/18,19.82
2016/5/19,19.73
2016/5/20,19.84
2016/5/23,19.95
2016/5/24,19.84
2016/5/25,20.5
2016/5/26,20.58
2016/5/27,20.63
2016/5/30,20.92
2016/5/31,20.92
2016/6/1,20.72
2016/6/2,20.7
2016/6/3,20.91
2016/6/6,20.69
2016/6/7,20.87
2016/6/8,20.84
2016/6/13,20.5
2016/6/14,20.32
2016/6/15,20.2
2016/6/16,19.97
2016/6/17,20.32
2016/6/20,20.48
2016/6/21,20.45
2016/6/22,20.44
2016/6/23,20.44
2016/6/24,18.94
2016/6/27,19.24
2016/6/28,19.03
2016/6/29,19.49
2016/6/30,20.03
2016/7/1,20.46
2016/7/4,20.72
2016/7/5,20.58
2016/7/6,20.23
2016/7/7,20.65
2016/7/11,21.3
2016/7/12,21.28
2016/7/13,21.54
2016/7/14,21.5
2016/7/15,21.69
2016/7/18,21.7
2016/7/19,21.71
2016/7/20,21.7
2016/7/21,21.89
2016/7/22,21.69
2016/7/25,21.87
2016/7/26,21.91
2016/7/27,21.92
2016/7/28,21.86
2016/7/29,21.68
2016/8/1,21.9
2016/8/2,21.74
2016/8/3,21.35
2016/8/4,21.55
2016/8/5,21.59
2016/8/8,21.77
2016/8/9,21.77
2016/8/10,21.67
2016/8/11,21.54
2016/8/12,21.72
2016/8/15,21.8
2016/8/16,21.79
2016/8/17,21.72
2016/8/18,21.82
2016/8/19,21.87
2016/8/22,21.89
2016/8/23,21.9
2016/8/24,21.96
2016/8/25,21.8
2016/8/26,21.75
2016/8/29,21.67
2016/8/30,21.86
2016/8/31,21.79
2016/9/1,21.77
2016/9/2,21.62
2016/9/5,21.87
2016/9/6,21.81
2016/9/7,21.8
2016/9/8,21.75
2016/9/9,21.7
2016/9/12,20.55
2016/9/13,21.25
2016/9/14,20.99
2016/9/19,21.09
2016/9/20,21.01
2016/9/21,21.09
2016/9/22,21.29
2016/9/23,21.52
2016/9/26,21.36
2016/9/29,21.5
2016/9/30,21.13
2016/10/3,21.43
2016/10/4,21.33
2016/10/5,21.08
2016/10/6,21.27
2016/10/7,21.24
2016/10/11,21.35
2016/10/12,21.08
2016/10/13,20.7
2016/10/14,20.85
2016/10/17,20.76
2016/10/18,20.91
2016/10/19,20.89
2016/10/20,21.12
2016/10/21,20.9
2016/10/24,21
2016/10/25,21.2
2016/10/26,20.9
2016/10/27,20.8
2016/10/28,20.8
2016/10/31,20.84
2016/11/1,20.79
2016/11/2,20.23
2016/11/3,20.04
2016/11/4,20.01
2016/11/7,20.41
2016/11/8,20.88
2016/11/9,19.1
2016/11/10,21.42
2016/11/11,21.5
2016/11/14,21.78
2016/11/15,21.59
2016/11/16,21.92
2016/11/17,21.85
2016/11/18,21.95
2016/11/21,21.95
2016/11/22,22.4
2016/11/23,22.42
2016/11/24,22.3
2016/11/25,22.4
2016/11/28,22.5
2016/11/29,22.28
2016/11/30,22.4
2016/12/1,22.42
2016/12/2,22.1
2016/12/5,22.22
2016/12/6,22.4
2016/12/7,22.54
2016/12/8,23.14
2016/12/9,23.26
2016/12/12,23.57
2016/12/13,23.5
2016/12/14,23.8
2016/12/15,23.51
2016/12/16,23.7
2016/12/19,23.63
2016/12/20,23.65
2016/12/21,23.75
2016/12/22,23.56
2016/12/23,23.66
2016/12/26,23.6
2016/12/27,23.7
2016/12/28,23.92
2016/12/29,23.52
2017/1/3,23.46
2017/1/4,23.57
2017/1/5,23.7
2017/1/6,23.7
2017/1/9,23.87
2017/1/10,23.65
2017/1/11,23.62
2017/1/12,23.73
2017/1/13,23.72
2017/1/16,23.6
2017/1/17,23.59
2017/1/18,23.45
2017/1/19,23.64
2017/1/20,23.65
2017/1/23,23.49
2017/2/2,23.25
2017/2/3,23.29
2017/2/6,23.62
2017/2/7,23.68
2017/2/8,23.68
2017/2/9,23.75
2017/2/10,24.03
2017/2/13,24.36
2017/2/14,24.52
2017/2/15,24.65
2017/2/16,24.88
2017/2/17,24.82
2017/2/20,24.8
2017/2/21,25
2017/2/22,25.13
2017/2/23,24.95
2017/2/24,24.95
2017/3/1,25.18
2017/3/2,25.8
2017/3/3,25.44
2017/3/6,25.58
2017/3/7,25.52
2017/3/8,25.04
2017/3/9,25.17
2017/3/10,25.42
2017/3/13,25.5
2017/3/14,25.49
2017/3/15,25.42
2017/3/16,25.58
2017/3/17,25.48
2017/3/20,25.27
2017/3/21,25.3
2017/3/22,24.49
2017/3/23,24.71
2017/3/24,24.75
2017/3/27,24.3
2017/3/28,24.57
2017/3/29,24.78
2017/3/30,24.9
2017/3/31,25
2017/4/5,24.89
2017/4/6,24.61
2017/4/7,24.86
2017/4/10,25.06
2017/4/11,24.89
2017/4/12,24.8
2017/4/13,24.44
2017/4/14,24.22
2017/4/17,24.13
2017/4/18,24.6
2017/4/19,24.41
2017/4/20,24.29
2017/4/21,24.7
2017/4/24,24.99
2017/4/25,25.09
2017/4/26,25.21
2017/4/27,25.33
2017/4/28,25.24
2017/5/2,25.2
2017/5/3,25.2
2017/5/4,25.2
2017/5/5,25.17
2017/5/8,25.44
2017/5/9,25.39
2017/5/10,25.45
2017/5/11,25.45
2017/5/15,25.35
2017/5/16,25.58
2017/5/18,24.89
2017/5/19,24.96
2017/5/23,25.31
2017/5/24,25.52
2017/5/25,25.66
2017/5/26,25.92
2017/5/31,25.94
2017/6/1,25.82
2017/6/2,26.25
2017/6/5,26.24
2017/6/7,26.11
2017/6/8,26.11
2017/6/9,25.99
2017/6/12,26.05
2017/6/13,26.13
2017/6/14,26.3
2017/6/15,26.29
2017/6/16,26.44
2017/6/20,26.71
2017/6/21,26.58
2017/6/22,26.26
2017/6/23,26.39
2017/6/26,26.46
2017/6/27,26.46
2017/6/28,26.16
2017/6/29,26.45
2017/6/30,26.19
2017/7/3,26.17
2017/7/4,26.19
2017/7/5,26.3
2017/7/6,26.31
2017/7/7,25.94
2017/7/10,26.3
2017/7/11,26.27
2017/7/12,26.2
2017/7/13,26.48
2017/7/14,26.65
2017/7/17,26.86
2017/7/18,26.88
2017/7/19,27
2017/7/20,27.17
2017/7/24,27.14
2017/7/25,26.9
2017/7/26,27.18
2017/7/28,27
2017/7/31,27.11
2017/8/1,27.17
2017/8/4,27.01
2017/8/7,27.17
2017/8/9,26.94
2017/8/10,27.01
2017/8/11,26.35
2017/8/14,26.61
2017/8/15,27.02
2017/8/16,26.98
2017/8/17,27.03
2017/8/18,26.32
2017/8/21,26.16
2017/8/22,26.31
2017/8/23,26.57
2017/8/24,26.42
2017/8/25,26.47
2017/8/28,26.34
2017/8/29,26.14
2017/8/30,26.56
2017/8/31,26.73
2017/9/1,26.98
2017/9/4,26.91
2017/9/5,26.91
2017/9/6,26.67
2017/9/7,26.74
2017/9/8,26.65
2017/9/11,27
2017/9/12,27.22
2017/9/13,27.36
2017/9/14,27.43
2017/9/15,27.43
2017/9/18,27.69
2017/9/19,27.73
2017/9/20,27.58
2017/9/25,27.58
2017/9/26,27.55
2017/9/28,27.76
2017/9/29,27.92
2017/10/2,28.1
2017/10/3,28.21
2017/10/5,28.26
2017/10/6,28.72
2017/10/11,28.78
2017/10/12,28.84
2017/10/13,28.65
2017/10/16,28.8
2017/10/17,28.9
2017/10/19,28.91
2017/10/23,29.31
2017/10/24,29.1
2017/10/27,29.09
2017/10/30,29.31
2017/10/31,29.18
2017/11/1,29.21
2017/11/2,29.2
2017/11/3,29.36
2017/11/6,29.38
2017/11/7,29.63
2017/11/8,29.46
2017/11/9,29.72
2017/11/10,29.45
2017/11/13,29.48
2017/11/15,29.23
2017/11/16,29.15
2017/11/17,29.43
2017/11/20,29.21
2017/11/22,29.63
2017/11/23,29.63
2017/11/24,29.71
2017/11/27,29.72
2017/11/28,29.78
2017/11/29,30.28
2017/11/30,30.38
2017/12/1,30.73
2017/12/4,31.19
2017/12/5,30.69
2017/12/6,30.37
2017/12/7,30.51
2017/12/8,30.65
2017/12/11,30.93
2017/12/12,31.14
2017/12/13,31.22
2017/12/14,31.22
2017/12/15,30.99
2017/12/18,31.7
2017/12/19,31.98
2017/12/20,31.82
2017/12/21,31.53
2017/12/22,31.72
2017/12/25,31.65
2017/12/26,31.6
2017/12/27,31.7
2017/12/28,31.69
2017/12/29,31.69
2018/1/2,31.37
2018/1/3,31.87
2018/1/4,32.09
2018/1/5,32.28
2018/1/8,32.74
2018/1/9,32.86
2018/1/10,32.86
2018/1/11,32.94
2018/1/12,33.38
2018/1/15,34.03
2018/1/16,34.05
2018/1/17,33.63
2018/1/18,34.25
2018/1/19,34.01
2018/1/22,34.2
2018/1/23,35.05
2018/1/24,35.03
2018/1/25,35
2018/1/29,35.78
2018/1/30,34.97
2018/1/31,34.7
2018/2/1,34.74
2018/2/2,34.35
2018/2/5,32.9
2018/2/6,28.72
2018/2/7,30.13
2018/2/8,30.5
2018/2/9,29.24
2018/2/12,29.78
2018/2/21,30.9
2018/2/22,30.85
2018/2/23,31.41
2018/2/26,32.5
2018/2/27,33.03
2018/3/1,31.5
2018/3/2,30.76
2018/3/5,30.65
2018/3/6,31.72
2018/3/7,31.11
2018/3/8,31.86
2018/3/9,32.05
2018/3/12,33.46
2018/3/13,33.31
2018/3/14,32.68
2018/3/15,32.46
2018/3/16,32.38
2018/3/19,32.2
2018/3/20,31.6
2018/3/21,31.67
2018/3/22,31.34
2018/3/23,29.4
2018/3/26,29.23
2018/3/27,30.37
2018/3/28,28.91
2018/3/29,28.81
2018/3/30,29.32
2018/4/2,29.49
2018/4/3,28.33
2018/4/9,29
2018/4/10,29.76
2018/4/11,29.68
2018/4/12,29.52
2018/4/13,29.77
2018/4/16,30.13
2018/4/17,30.63
2018/4/18,31.29
2018/4/19,31.27
2018/4/20,30.8
2018/4/23,30.38
2018/4/24,30.27
2018/4/25,29.49
2018/4/26,29.74
