Date,Close
2014/10/31,20.2
2014/11/3,20.36
2014/11/4,20.47
2014/11/5,20.3
2014/11/6,20.01
2014/11/7,20.13
2014/11/10,20.74
2014/11/11,20.69
2014/11/12,20.1
2014/11/13,20.3
2014/11/14,20.32
2014/11/17,20.06
2014/11/18,19.9
2014/11/19,20.38
2014/11/20,20.91
2014/11/21,20.94
2014/11/24,21.02
2014/11/25,21.1
2014/11/26,21.06
2014/11/27,21.35
2014/11/28,21.4
2014/12/1,21.03
2014/12/2,20.55
2014/12/3,21.21
2014/12/4,21.42
2014/12/5,21.32
2014/12/8,21.17
2014/12/9,20.92
2014/12/10,20.38
2014/12/11,20.35
2014/12/12,20.35
2014/12/15,20.29
2014/12/16,20.12
2014/12/17,19.57
2014/12/18,19.61
2014/12/19,20.22
2014/12/22,20.68
2014/12/23,20.72
2014/12/24,21
2014/12/25,21
2014/12/26,21.16
2014/12/29,21.6
2014/12/30,21.44
2014/12/31,21.53
2015/1/5,21.37
2015/1/6,20.35
2015/1/7,20.46
2015/1/8,21.23
2015/1/9,21.14
2015/1/12,20.91
2015/1/13,21.12
2015/1/14,20.85
2015/1/15,20.9
2015/1/16,20.66
2015/1/19,20.95
2015/1/20,21.31
2015/1/21,21.59
2015/1/22,21.81
2015/1/23,22.38
2015/1/26,22.37
2015/1/27,22.58
2015/1/28,22.61
2015/1/29,22.18
2015/1/30,22
2015/2/2,21.99
2015/2/3,22.3
2015/2/4,22.67
2015/2/5,22.56
2015/2/6,22.33
2015/2/9,22.25
2015/2/10,22.13
2015/2/11,22.46
2015/2/12,22.48
2015/2/13,22.73
2015/2/24,23.16
2015/2/25,23.43
2015/2/26,23.2
2015/3/2,23.01
2015/3/3,23.03
2015/3/4,23.08
2015/3/5,22.95
2015/3/6,23.05
2015/3/9,22.75
2015/3/10,22.58
2015/3/11,22.6
2015/3/12,22.9
2015/3/13,22.83
2015/3/16,22.58
2015/3/17,22.66
2015/3/18,23
2015/3/19,23.57
2015/3/20,23.52
2015/3/23,23.53
2015/3/24,23.38
2015/3/25,23.24
2015/3/26,22.84
2015/3/27,22.46
2015/3/30,22.46
2015/3/31,22.68
2015/4/1,22.34
2015/4/2,22.85
2015/4/7,22.93
2015/4/8,22.67
2015/4/9,22.57
2015/4/10,22.87
2015/4/13,23.05
2015/4/14,22.98
2015/4/15,22.36
2015/4/16,22.83
2015/4/17,22.61
2015/4/20,22.53
2015/4/21,22.47
2015/4/22,22.87
2015/4/23,23.91
2015/4/24,24.4
2015/4/27,24.78
2015/4/28,24.6
2015/4/29,24.21
2015/4/30,24.1
2015/5/4,24.17
2015/5/5,23.84
2015/5/6,23.88
2015/5/7,23.4
2015/5/8,23.35
2015/5/11,23.34
2015/5/12,23.36
2015/5/13,23.58
2015/5/14,22.98
2015/5/15,22.8
2015/5/18,22.93
2015/5/19,23.5
2015/5/20,23.36
2015/5/21,22.83
2015/5/22,23.07
2015/5/25,23.1
2015/5/26,23.27
2015/5/27,23.39
2015/5/28,23.54
2015/5/29,23.36
2015/6/1,23.07
2015/6/2,22.95
2015/6/3,22.66
2015/6/4,21.69
2015/6/5,21.69
2015/6/8,21.85
2015/6/9,21.3
2015/6/10,21.58
2015/6/11,21.57
2015/6/12,21.52
2015/6/15,21.38
2015/6/16,21.09
2015/6/17,21.22
2015/6/18,21.27
2015/6/22,21.77
2015/6/23,21.92
2015/6/24,21.95
2015/6/25,22.41
2015/6/26,22.41
2015/6/29,21.48
2015/6/30,21.81
2015/7/1,22.27
2015/7/2,22.25
2015/7/3,22.23
2015/7/6,21.84
2015/7/7,21.95
2015/7/8,20.69
2015/7/9,20.4
2015/7/13,20.82
2015/7/14,20.83
2015/7/15,20.92
2015/7/16,21.11
2015/7/17,21.1
2015/7/20,20.85
2015/7/21,21.1
2015/7/22,20.72
2015/7/23,20.45
2015/7/24,20.15
2015/7/27,19.45
2015/7/28,19.6
2015/7/29,19.31
2015/7/30,19.75
2015/7/31,19.57
2015/8/3,19.12
2015/8/4,19.11
2015/8/5,19.41
2015/8/6,18.93
2015/8/7,18.82
2015/8/10,18.99
2015/8/11,18.7
2015/8/12,18.26
2015/8/13,18.4
2015/8/14,18.32
2015/8/17,17.99
2015/8/18,17.7
2015/8/19,17.19
2015/8/20,17.08
2015/8/21,16.15
2015/8/24,14.44
2015/8/25,15.6
2015/8/26,15.77
2015/8/27,15.89
2015/8/28,16.78
2015/8/31,16.98
2015/9/1,16.64
2015/9/2,17.01
2015/9/3,17.05
2015/9/4,16.73
2015/9/7,16.82
2015/9/8,16.82
2015/9/9,18.4
2015/9/10,18.19
2015/9/11,18.28
2015/9/14,18.15
2015/9/15,18.04
2015/9/16,18.29
2015/9/17,18.98
2015/9/18,19.08
2015/9/21,18.2
2015/9/22,18.38
2015/9/23,17.68
2015/9/24,17.46
2015/9/25,17.54
2015/9/30,17.67
2015/10/1,18.28
2015/10/2,18.17
2015/10/5,18.3
2015/10/6,18.56
2015/10/7,19.1
2015/10/8,18.87
2015/10/12,19.5
2015/10/13,19.4
2015/10/14,19.24
2015/10/15,19.7
2015/10/16,19.62
2015/10/19,19.67
2015/10/20,19.77
2015/10/21,19.54
2015/10/22,19.6
2015/10/23,19.9
2015/10/26,20.2
2015/10/27,19.96
2015/10/28,19.79
2015/10/29,19.48
2015/10/30,19.46
2015/11/2,19.48
2015/11/3,20.09
2015/11/4,20.83
2015/11/5,20.81
2015/11/6,20.04
2015/11/9,19.68
2015/11/10,19.27
2015/11/11,18.8
2015/11/12,18.83
2015/11/13,18.43
2015/11/16,18.2
2015/11/17,18.82
2015/11/18,18.32
2015/11/19,18.79
2015/11/20,18.79
2015/11/23,18.93
2015/11/24,18.6
2015/11/25,18.53
